percentage(no padding),percentage(padding),overflow,compress(ms),decompress(ms),correctness(1/0)
0.8878,0.8878,0.805,0.184,0.181,1
0.8592,0.8592,0.8513,0.187,0.148,1
0.9761,0.9761,0.5841,0.187,0.182,1
0.9396,0.9396,0.5248,0.187,0.152,1
0.9197,0.9197,0.7532,0.187,0.184,1
0.9004,0.9004,0.7845,0.185,0.185,1
0.9555,0.9555,0.695,0.131,0.153,1
0.8665,0.8665,0.4062,0.193,0.186,1
0.749,0.749,0.2155,0.196,0.191,1
0.9117,0.9117,0.7662,0.194,0.18,1
0.9037,0.9037,0.7791,0.187,0.187,1
0.8526,0.8526,0.3836,0.189,0.199,1
0.9256,0.9256,0.7435,0.187,0.185,1
0.9024,0.9024,0.7812,0.181,0.192,1
0.8619,0.8619,0.847,0.185,0.19,1
0.9582,0.9582,0.6907,0.186,0.183,1
0.8606,0.8606,0.8491,0.15,0.159,1
0.7278,0.7278,0.181,0.164,0.187,1
0.907,0.907,0.7737,0.114,0.161,1
0.8725,0.8725,0.8297,0.192,0.181,1
0.8108,0.8108,0.3157,0.169,0.186,1
0.9807,0.9807,0.6541,0.188,0.189,1
0.8818,0.8818,0.8147,0.188,0.187,1
0.9163,0.9163,0.7586,0.135,0.207,1
0.8891,0.8891,0.8028,0.184,0.185,1
0.7822,0.7822,0.2694,0.191,0.184,1
0.9263,0.9263,0.7425,0.188,0.183,1
0.8679,0.8679,0.8373,0.19,0.155,1
0.7523,0.7523,0.2209,0.183,0.15,1
0.8931,0.8931,0.7963,0.145,0.152,1
0.8865,0.8865,0.8071,0.189,0.184,1
0.8911,0.8911,0.7996,0.187,0.187,1
0.8884,0.8884,0.8039,0.183,0.189,1
0.927,0.927,0.5043,0.12,0.154,1
0.9515,0.9515,0.5442,0.194,0.189,1
0.9163,0.9163,0.7586,0.121,0.191,1
0.8679,0.8679,0.8373,0.183,0.186,1
0.844,0.844,0.3696,0.183,0.151,1
0.9157,0.9157,0.7597,0.117,0.195,1
0.9256,0.9256,0.7435,0.188,0.188,1
0.9004,0.9004,0.7845,0.184,0.181,1
0.8712,0.8712,0.8319,0.186,0.206,1
0.8858,0.8858,0.4375,0.188,0.163,1
0.9761,0.9761,0.5841,0.186,0.188,1
0.9177,0.9177,0.7565,0.125,0.163,1
0.917,0.917,0.7575,0.12,0.164,1
0.8599,0.8599,0.8502,0.183,0.188,1
0.8373,0.8373,0.3588,0.189,0.187,1
0.2,0.2,0.6358,0.182,0.207,1
0.8997,0.8997,0.7856,0.208,0.181,1
0.8738,0.8738,0.8276,0.191,0.19,1
0.9263,0.9263,0.5032,0.187,0.195,1
0.9555,0.9555,0.5506,0.118,0.164,1
0.8991,0.8991,0.7866,0.18,0.182,1
0.8825,0.8825,0.8136,0.188,0.182,1
0.9887,0.9887,0.6412,0.186,0.189,1
0.5943,0.03556,00.17,0.187,1
0.8984,0.8984,0.7877,0.19,0.185,1
0.8818,0.8818,0.8147,0.189,0.189,1
0.8546,0.8546,0.8588,0.187,0.189,1
0.8699,0.8699,0.4116,0.186,0.181,1
0.913,0.913,0.764,0.186,0.17,1
0.8838,0.8838,0.8114,0.187,0.191,1
0.8845,0.8845,0.8103,0.185,0.199,1
0.9037,0.9037,0.4666,0.191,0.189,1
0.9223,0.9223,0.7489,0.185,0.183,1
0.8579,0.8579,0.8534,0.186,0.196,1
0.7424,0.7424,0.2047,0.181,0.186,1
0.8798,0.8798,0.8179,0.185,0.196,1
0.8778,0.8778,0.8211,0.186,0.198,1
0.7284,0.7284,0.1821,0.195,0.184,1
0.917,0.917,0.7575,0.196,0.169,1
0.8811,0.8811,0.8157,0.182,0.161,1
0.9157,0.9157,0.7597,0.183,0.189,1
0.8997,0.8997,0.7856,0.188,0.205,1
0.8645,0.8645,0.8427,0.192,0.185,1
0.6049,0.01832,00.183,0.198,1
0.9117,0.9117,0.7662,0.193,0.19,1
0.8858,0.8858,0.8082,0.193,0.18,1
0.8699,0.8699,0.8341,0.188,0.18,1
0.8526,0.8526,0.3836,0.163,0.194,1
0.9084,0.9084,0.7716,0.148,0.163,1
0.8493,0.8493,0.8675,0.199,0.191,1
0.6972,0.6972,0.1315,0.166,0.195,1
0.9084,0.9084,0.7716,0.196,0.195,1
0.9044,0.9044,0.778,0.196,0.188,1
